Long,Lat,ROI
25.2100365,41.024891,0
22.3563265,38.124554,3.4
25.978371,36.899338,0
22.54681,40.495438,0
23.467676,37.703869,4.3
22.0816985,38.249056,6.3
23.7716075,37.880806,3.6
25.136536,35.330204,5.7
23.7416345,37.889723,4.0
25.954256,41.017403,0
22.8556825,39.352697,0
25.218554,35.269634,4.3
22.036299,37.0887335,4.1
21.251722,39.528572,0
23.767647,37.8604165,2.6
23.735456,37.978642,3.7
25.13274,35.329418,2.9
22.428707,39.638363,11.2
26.56441,39.087986,3.7
24.58176,35.165054,11.6
22.718706,37.642406,0
22.083235,37.0375595,0.8
23.327169,38.501781,0
22.334129,38.154221,3.8
21.843531,36.798874,0
23.177977,41.269875,0
22.93145,40.6603205,3.6
22.143974,36.955791,3.4
23.725569,37.968075,4.8
22.8772725,40.9905225,0
22.652607,40.843426,0
24.0933705,35.547392,8.3
24.471533,37.98431,4.8
26.57452,39.0768965,4.8
20.901062,37.804581,1.4
25.4562985,37.1401215,0
24.243179,40.898178,0
21.794305,38.3061885,5.3
22.843626,38.769278,3.2
21.725136,38.226631,9.2
23.793507,40.774029,0
23.980649,38.400759,4.7
23.3435965,37.416548,22.7
23.7587855,38.0173795,4.5
20.8503895,38.901419,0
24.5380825,35.186821,0
24.901449,37.806259,0
25.210917,35.1745,0
22.9127785,37.8459605,3.4
22.426424,37.752289,0
22.437515,37.464504,0
26.207403,41.449959,0
22.414129,38.831127,0
22.796217,41.253517,0
22.44302,40.6258695,3.3
25.874856,40.850452,5.1
24.669811,35.358204,0
21.538846,37.6399055,0
23.107714,38.375076,0
21.811806,37.483353,0
22.432022,36.471958,0
20.784954,37.840042,0
21.540915,38.15556,5.3
20.788357,37.818737,0
25.136461,36.999073,3.8
22.611282,40.379707,0
24.7440565,40.614067,0
23.053495,38.19458,2.5
23.911134,35.453823,4.3
23.7217655,37.913309,3.1
26.834284,37.163803,3.4
21.587399,38.141098,2.8
24.883816,35.014088,0
24.0381545,38.4074765,3.4
21.022196,38.675961,0
22.985826,38.066875,0
22.9826915,39.3701995,8.8
23.04011,38.050018,0
24.201075,35.448471,2.3
21.547623,37.703373,0
22.155539,37.001667,0.7
24.187514,38.271103,0
22.719273,37.569157,0
