Long,Lat,ROI,n_sale,n_rent,sale_price_per_meter,rent_price_per_meter,geography
22.304457,36.813511,0,5,0,3125,0,Agios Dimitrios (Lefktros)
23.159756,39.414974,0.9,23,2,1944,2,Agios Dimitrios (Mouresi)
22.110071,39.518047,0,1,0,555,0,Agios Dimitrios (Palamas)
23.772644,38.009399,3.3,39,36,5523,15,Agios Dimitrios (Paleo Psichiko)
21.016352,39.161213,5.8,1,1,1030,5,Agios Dimitrios (Peta)
22.23215,40.156849,0,2,0,2014,0,Agios Dimitrios (Petra)
21.792278,38.59922,0,1,0,283,0,Agios Dimitrios (Platanos)
23.025349,39.016869,1.9,3,1,638,1,Agios Dimitrios (Pteleos)
21.739504,38.253345,4.8,41,41,2000,8,Agios Dionysios (Patra)
22.519903,36.74934,0,1,0,560,0,Agios Efstratios (Githeio)
23.729404,38.018936,5.2,183,38,1846,8,Agios Eleftherios (Athens - Center)
23.731722,38.021095,4.8,59,16,1986,8,Agios Eleftherios - Probona - Rizoupoli (Athens - Center)
22.4252695,39.6315915,4.2,2,2,1721,6,Agios Eleutherios (Larisa)
23.632406,37.950027,4.4,25,4,2589,10,Agios Fanourios (Drapetsona)
23.71056,38.0236415,4.9,48,4,1824,8,Agios Fanourios (Ilion)
22.028431,37.166965,0,1,0,437,0,Agios Floros (Arfara)
25.186726,37.527939,0,1,0,2592,0,Agios Fokas (Tinos)
22.38238,38.509808,0,1,0,1000,0,Agios Georgios (Amfissa)
23.697575,38.087154,0,27,0,1350,0,Agios Georgios (Ano Liosia)
25.030319,36.978275,8.0,33,1,5714,38,Agios Georgios (Antiparos)
24.0955145,38.509781,0,2,0,1520,0,Agios Georgios (Avlona)
19.713549,39.720654,6.2,27,3,966,5,Agios Georgios (Corfu)
20.857468,39.267559,0,1,0,840,0,Agios Georgios (Filippiada)
25.68792,35.051331,0,1,0,714,0,Agios Georgios (Ierapetra)
21.406454,40.195293,0,1,0,480,0,Agios Georgios (Irakleotes)
25.469612,36.860737,0,1,0,3012,0,Agios Georgios (Iraklias)
24.4132715,40.939604,9.2,16,18,1176,9,Agios Georgios (Kavala)
23.618086,37.961823,6.4,107,12,1500,8,Agios Georgios (Keratsini)
22.912779,37.930679,4.0,27,4,1800,6,Agios Georgios (Korinthos)
21.922277,36.755909,3.2,1,1,1865,5,Agios Georgios (Koroni)
22.338985,39.45409,0,1,0,142,0,Agios Georgios (Krannonas)
22.877002,38.837227,3.7,14,1,2250,7,Agios Georgios (Lichada)
22.575886,37.643963,0,1,0,571,0,Agios Georgios (Lirkeia)
23.396004,37.625626,0,3,0,3400,0,Agios Georgios (Methana)
22.8827785,39.2908785,5.1,12,2,1171,5,Agios Georgios (Nea Agchialos)
23.7846825,38.005756,3.1,108,46,3860,10,Agios Georgios (Neo Psychiko)
23.644133,37.971092,5.2,137,10,1833,8,Agios Georgios (Nikaia)
22.387905,36.524261,0,1,0,1062,0,Agios Georgios (Oitilos)
20.51124,39.451939,0,1,0,996,0,Agios Georgios (Paramithia)
21.435871,37.697098,0,5,0,1301,0,Agios Georgios (Pirgos)
23.338408,39.168907,0,1,0,3513,0,Agios Georgios (Sipiada)
26.065716,35.123703,0,1,0,894,0,Agios Georgios (Siteia)
22.6744605,36.85396,9.8,2,1,732,6,Agios Georgios (Skala)
24.636884,40.7626835,11.4,4,1,1681,16,Agios Georgios (Thasos)
23.706167,40.722763,0,1,0,1916,0,Agios Georgios (Thessaloniki - Rest of Prefecture)
23.365578,37.498428,0,1,0,1360,0,Agios Georgios (Trizina)
22.7694645,39.353403,4.7,2,1,505,2,Agios Georgios Feron (Feron)
23.085103,39.343224,0,34,0,1262,0,Agios Georgios Nileias (Milies)
24.034845,37.7462025,0,8,0,2236,0,Agios Georgios Thorikou (Keratea)
22.859921,37.934895,14.0,5,1,1625,19,Agios Gerasimos (Assos-Lechaio)
21.7272365,38.2338335,14.3,14,11,921,11,Agios Gerasimos (Patra)
21.159201,40.839069,1.2,1,1,1000,1,Agios Germanos (Prespes)
22.9381075,40.6516455,8.4,78,27,1139,8,Agios Giorgios - Troada (Neapoli)
21.333218,37.717545,3.2,1,1,746,2,Agios Ilias (Pirgos)
23.820992,38.004086,3.6,169,22,4000,12,Agios Ioannis (Agia Paraskevi)
22.0778825,38.2506695,7.1,8,1,848,5,Agios Ioannis (Aigio)
21.3665685,37.828623,0,2,0,821,0,Agios Ioannis (Amaliada)
24.001793,37.952335,5.8,42,9,1666,8,Agios Ioannis (Artemida (Loutsa))
23.7349035,37.9576705,5.2,126,31,2293,10,Agios Ioannis (Athens - Center)
25.361206,35.326504,0,1,0,2884,0,Agios Ioannis (Chersonisos)
24.398232,35.233631,0,1,0,453,0,Agios Ioannis (Foinikas)
23.462856,37.3463495,0,4,0,4733,0,Agios Ioannis (Hydra)
20.668945,38.385544,0,1,0,2000,0,Agios Ioannis (Ithaki)
22.963094,40.5743595,3.1,240,30,2923,8,Agios Ioannis (Kalamaria)
24.778254,35.327316,0,1,0,687,0,Agios Ioannis (Kouloukonas)
22.399223,37.050606,0,3,0,802,0,Agios Ioannis (Mistras)
22.9959725,36.747589,0,6,0,1690,0,Agios Ioannis (Monemvasia)
23.1664245,39.411081,0,2,0,2571,0,Agios Ioannis (Mouresi)
22.634068,37.359138,0,7,0,1428,0,Agios Ioannis (North Kinouria)
20.8130065,39.697134,5.2,6,2,1159,5,Agios Ioannis (Passarona)
21.3862485,37.6774255,0,8,0,958,0,Agios Ioannis (Pirgos)
22.958811,40.6579725,6.1,10,4,1467,8,Agios Ioannis (Polichni)
22.998812,39.390949,0,5,0,1004,0,Agios Ioannis (Portaria)
23.467123,37.956459,3.8,11,1,1562,5,Agios Ioannis (Salamina)
